type,title,pdf,link,slides,authors,conference,location,month,year
conference,"Phasor Based Control with the Distributed, Extensible Grid Control Platform",,https://ieeexplore.ieee.org/abstract/document/9372161,,"Keith Moffat, Jasper Pakshong, Leo Chu, Gabe Fierro, Jaimie Swartz, Maxime Baudette, Alexandra von Meier","2021 IEEE Power & Energy Society Innovative Smart Grid Technologies Conference (ISGT)","Virtual Event",February,2021
conference,"An Extensible Software and Communication Platform for Distributed Energy Resource Management",,https://ieeexplore.ieee.org/abstract/document/9303006,,"Gabe Fierro, Keith Moffat, Jasper Pakshong, Alexandra von Meier","2020 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)","Virtual Event",November,2020
conference,"Shepherding Metadata Through the Building Lifecycle",shepherding2020fierro.pdf,,,"Gabe Fierro, Anand Krishnan Prakash, Cory Mosiman, Marco Pritoni, Paul Raftery, Michael Wetter, David E. Culler","Proceedings of the 7th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation (BuildSys)","Virtual Event, Japan",November,2020
conference,"Semantic Interoperability to Enable Smart, Grid-Interactive Efficient Buildings",semantic_interop.pdf,,,"Harry Bergmann, Cory Mosiman, Avijit Saha, Selam Haile, William Livingood, Steven Bushby, Gabe Fierro, Joel Bender, Michael Poplawski, Jessica Granderson, Marco Pritoni",2020 ACEEE Summer Study on Energy Efficiency in Buildings,Virtual Event,August,2020
conference,"Beyond a House of Sticks: Formalizing Metadata Tags with Brick",house2019fierro.pdf,,,"Gabe Fierro, Jason Koh, Yuvraj Agarwal, Rajesh K. Gupta, David E. Culler","6th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation (BuildSys)","New York, NY, USA",November,2019
conference,"WAVE: A Decentralized Authorization Framework with Transitive Delegation",wave.pdf,"https://www.usenix.org/conference/usenixsecurity19/presentation/andersen",,"Michael P Andersen, Sam Kumar, Moustafa AbdelBaky, Gabe Fierro, John Kolb, Hyung-Sin Kim, David E. Culler, Raluca Ada Popa","28th USENIX Security Symposium (USENIX Security 19)","Santa Clara, CA, USA",,2019
conference,Design and Analysis of a Query Processor for Brick,hoddb2017fierro.pdf,,,"Gabe Fierro, David E. Culler",4th ACM International Conference on Systems for Energy-Efficient Built Environments (BuildSys),"Delft, The Netherlands",November,2017
conference,Mortar: An Open Testbed for Portable Building Analytics,mortar2018fierro.pdf,,,"Gabe Fierro, Marco Pritoni, Moustafa AbdelBaky, Paul Raftery, Therese Peffer, Greg Thomson, David E. Culler",5th ACM International Conference on Systems for Energy-Efficient Built Environments (BuildSys),"Shenzhen, China",November,2018
conference,"Brick v1.0 - Towards a Unified Metadata Schema for Buildings",brick2016balaji.pdf,,,"Bharathan Balaji, Arka Bhattacharya, Gabe Fierro, Jingkun Gao, Joshua Gluck, Dezhi Hong, Aslak Johansen, Jason Koh, Yuvraj Agarwal, Mario Berges, David E. Culler, Rajesh Gupta, Mikkel Baun Kjaergaard, Joern Ploennigs, Kamin Whitehouse",3rd ACM International Conference on Systems for Energy-Efficient Built Environments (BuildSys),"Palo Alto, California",November,2016
conference,Enabling Portable Energy Applications with a Building Operating System,aceee_enabling.pdf,,,"Gabe Fierro, Therese Peffer, David E. Culler",2016 ACEEE Summer Study on Energy Efficiency in Buildings,"Pacific Grove, CA",August,2016
conference,"Writing Controls Sequences for Buildings: from HVAC Industry Enclave to Hacker’s Weekend Project",aceee_enclave.pdf,,,"Therese Peffer, Marco Pritoni, Gabe Fierro, Soazig Kaam, Joyce Kim, Paul Raftery",2016 ACEEE Summer Study on Energy Efficiency in Buildings,"Pacific Grove, CA",August,2016
conference,Getting into the Zone: How the Internet of Things can Improve Energy Efficiency and Demand Response in a Commercial Building,aceee_gettingintothezone.pdf,,,"Peng Zhao, Therese Peffer, Ram Narayanamurthy, Gabe Fierro, Paul Raftery, Soazig Kaam, Joyce Kim",2016 ACEEE Summer Study on Energy Efficiency in Buildings,"Pacific Grove, CA",August,2016
conference,Well-connected Microzones for Increased Building Efficiency and Occupant Comfort,aceee_chairs.pdf,,,"Michael P Andersen, Gabe Fierro, Sam Kumar, Joyce Kim, Edward A. Arens, Hui Zhang, Paul Raftery, and David E. Culler",2016 ACEEE Summer Study on Energy Efficiency in Buildings,"Pacific Grove, CA",August,2016
conference,"System Design for a Synergistic, Low Power Mote/BLE Embedded Platform",synergy.pdf,,,"Michael P Andersen, Gabe Fierro, David E. Culler",15th ACM/IEEE Conference on Information Processing in Sensor Networks,"Vienna, Austria",April,2016
conference,Enabling Synergy in IoT: Platform to Service and Beyond,enabling_synergy.pdf,,,"Michael P Andersen, Gabe Fierro, David E. Culler",1st IEEE International Conference on Internet-of-Things Design and Implementation,"Berlin, Germany",April,2016
conference,BOSS: Building Operating System Services,boss.pdf,,,"Stephen Dawson-Haggerty, Andrew Krioukov, Jay Taneja, Sagar Karandikar, Gabe Fierro, Nikita Kitaev, and David E. Culler",10th USENIX Symposium on Networked Systems Design and Implementation,"Lombard, IL",April,2013
journal,Formalizing Tag-Based Metadata With the Brick Ontology,house2020fierro.pdf,https://doi.org/10.3389/fbuil.2020.558034,,"Gabe Fierro, Jason Koh, Shreyas Nagare, Xiaolin Zang, Yuvraj Agarwal, Rajesh K. Gupta and David E. Culler",Frontiers in Built Environment,,September,2020
journal,Solar+ Optimizer: A Model Predictive Control Optimization Platform for Grid Responsive Building Microgrids,solarplus.pdf,https://www.mdpi.com/1996-1073/13/12/3093#cite,,"Anand Krishnan Prakash, Kun Zhang, Pranav Gupta, David Blum, Marc Marshall, Gabe Fierro, Peter Alstone, James Zoellick, Richard Brown and Marco Pritoni",Energies,,June,2020
journal,Mortar: An Open Testbed for Portable Building Analytics,mortar2020fierro.pdf,,,"Gabe Fierro, Marco Pritoni, Moustafa AbdelBaky, Paul Raftery, Therese Peffer, Greg Thomson, David E. Culler",ACM Transactions on Sensor Networks,,January,2020
journal,Democratizing Authority in the Built Environment,democratizing2018anderson.pdf,,,"Michael P Andersen, John Kolb, Kaifei Chen, Gabe Fierro, David E. Culler, Randy Katz",ACM Transactions on Sensor Networks,December,,2018
journal,Design and Analysis of a Query Processor for Brick,hoddb2018fierro.pdf,,,"Gabe Fierro, David E. Culler",ACM Transactions on Sensor Networks,,January,2018
journal,Automated Disambiguation of US Patent Grants and Applications,AutomatedDisambiguation-of-US-Patent-Grants-and-Applications.pdf,,,"Benjamin Balsmeier, Alireza Chavosh, Guan-Cheng Li, Gabe Fierro, Kevin Johnson, Aditya Kaulagi, Doug O’Reagan, Bill Yeh, Lee Fleming",Fung Institute for Engineering Leadership,"Berkeley, CA, USA",,2015
workshop,Dataset: An Open Dataset and Collection Tool for BMS Point Labels,BuildingMetadataDataset-DATA-2019-Fierro.pdf,,,"Gabe Fierro, Sriharsha Guduguntla, David E. Culler",2nd Workshop on Data Acquisition To Analysis (DATA),"New York, NY, USA",November,2019
workshop,BAS: Building Application Stack,bas.pdf,,,"Andrew Krioukov, Gabe Fierro, Nikita Kitaev, David E. Culler",4th ACM Workshop On Embedded Sensing Systems For Energy-Efficiency In Buildings,"Toronto, Canada",November,2012
misc,Survey of Metadata Schemas for Data-Driven Smart Buildings,annex81metadatasurvey.pdf,https://annex81.iea-ebc.org/publications,,"Gabe Fierro, Pieter Pauwels",CSIRO,,June,2022
misc,Self-Adapting Software for Cyberphysical Systems,fierro-dissertation.pdf,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2021/EECS-2021-159.html,,"Gabe Fierro",PhD Thesis,"Berkeley, CA, USA",May,2021
misc,CoVista: A Unified View on Privacy Sensitive Mobile Contact Tracing Effort,covista-2020.pdf,https://arxiv.org/abs/2005.13164,,"David Culler, Prabal Dutta, Gabe Fierro, Joseph E. Gonzalez, Nathan Pemberton, JohannSchleier-Smith, K. Shankari, Alvin Wan, and Thomas Zachariah",arXiv,,May,2020
misc,Design of an Effective Ontology and Query Processor Enabling Portable Building Applications,fierro_masters_thesis.pdf,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2019/EECS-2019-106.html,,Gabe Fierro,Masters Thesis,"Berkeley, CA, USA",June,2019
misc,WAVE: A Decentralized Authorization System for IoT via Blockchain Smart Contracts,wave_techreport.pdf,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2017/EECS-2017-234.html,,"Michael P Andersen, John Kolb, Kaifei Chen, Gabriel Fierro, David E. Culler and Raluca Ada Popa.",Technical Report No. UCB/EECS-2017-234,,December,2017
misc,XBOS: An Extensible Building Operating System,EECS-2015-197.pdf,http://www.eecs.berkeley.edu/Pubs/TechRpts/2015/EECS-2015-197.pdf,,"Gabe Fierro and David E. Culler",Technical Report No. UCB/EECS-2015-197,,September,2015
demo,"Demo Abstract: Zone-level occupancy counting with existing infrastructure",zonelevelocc.pdf,,,"Gabe Fierro, Omar Rehmane, Andrew Krioukov, David E. Culler",4th ACM Workshop On Embedded Sensing Systems For Energy-Efficiency In Buildings,"Toronto, Canada",November,2012
demo,"Demo Abstract: Interactive Metadata Integration with Brick",interactive2020fierro.pdf,,,"Gabe Fierro, Anand Krishnan Prakash, Cory Mosiman, Marco Pritoni, Paul Raftery, Michael Wetter, David E Culler","Proceedings of the 7th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation","Virtual Event, Japan",November,2020
